[DEBUG] 2020-02-17 19:39:35.675 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4905c46b
[DEBUG] 2020-02-17 19:39:35.678 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@693e4d19
[DEBUG] 2020-02-17 19:39:35.690 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@693e4d19
[DEBUG] 2020-02-17 19:39:35.700 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5b78fdb1
[DEBUG] 2020-02-17 19:39:35.700 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5b78fdb1
[DEBUG] 2020-02-17 19:39:35.706 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3e9803c2
[DEBUG] 2020-02-17 19:39:35.707 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3e9803c2
[DEBUG] 2020-02-17 19:39:35.708 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7808fb9
[DEBUG] 2020-02-17 19:39:35.708 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7808fb9
[DEBUG] 2020-02-17 19:39:35.709 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@a567e72
[DEBUG] 2020-02-17 19:39:35.709 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@a567e72
[DEBUG] 2020-02-17 19:39:35.711 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cda0432
[DEBUG] 2020-02-17 19:39:35.711 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cda0432
[DEBUG] 2020-02-17 19:39:35.712 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@baf1bb3
[DEBUG] 2020-02-17 19:39:35.712 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@baf1bb3
[DEBUG] 2020-02-17 19:39:35.713 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@ddf20fd
[DEBUG] 2020-02-17 19:39:35.713 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@ddf20fd
[DEBUG] 2020-02-17 19:39:35.714 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4bdcaf36
[DEBUG] 2020-02-17 19:39:35.717 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4bdcaf36
[DEBUG] 2020-02-17 19:39:35.718 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@6ad6fa53
[DEBUG] 2020-02-17 19:39:35.718 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@6ad6fa53
[DEBUG] 2020-02-17 19:39:35.719 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@67a056f1
[DEBUG] 2020-02-17 19:39:35.719 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@67a056f1
[DEBUG] 2020-02-17 19:39:35.719 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@67a056f1
[DEBUG] 2020-02-17 19:39:35.721 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@afb5821
[DEBUG] 2020-02-17 19:39:35.722 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@458544e0
[DEBUG] 2020-02-17 19:39:35.722 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@458544e0
[DEBUG] 2020-02-17 19:39:35.722 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@458544e0
[DEBUG] 2020-02-17 19:39:35.723 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4690f583
[DEBUG] 2020-02-17 19:39:35.723 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@6090f3ca
[DEBUG] 2020-02-17 19:39:35.725 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@6090f3ca
[DEBUG] 2020-02-17 19:39:35.726 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5e3a39cd
[DEBUG] 2020-02-17 19:39:35.726 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5e3a39cd
[DEBUG] 2020-02-17 19:39:35.727 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@54da32dc
[DEBUG] 2020-02-17 19:39:35.727 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@54da32dc
[DEBUG] 2020-02-17 19:39:35.728 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@1917d90f
[DEBUG] 2020-02-17 19:39:35.728 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1917d90f
[DEBUG] 2020-02-17 19:39:35.728 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6edc4161
[DEBUG] 2020-02-17 19:39:35.728 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6edc4161
[DEBUG] 2020-02-17 19:39:35.729 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@189b5fb1
[DEBUG] 2020-02-17 19:39:35.730 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@50825a02
[DEBUG] 2020-02-17 19:39:35.730 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@50825a02
[DEBUG] 2020-02-17 19:39:35.731 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@50825a02
[DEBUG] 2020-02-17 19:39:35.731 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@2abc224d
[DEBUG] 2020-02-17 19:39:35.732 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@2abc224d
[DEBUG] 2020-02-17 19:39:35.732 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@2abc224d
[DEBUG] 2020-02-17 19:39:35.733 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@71178a52
[DEBUG] 2020-02-17 19:39:35.733 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@9a7a808
[DEBUG] 2020-02-17 19:39:35.734 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@30135202
[DEBUG] 2020-02-17 19:39:35.734 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@30135202
[DEBUG] 2020-02-17 19:39:35.737 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@30135202
[DEBUG] 2020-02-17 19:39:35.738 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@245a060f
[DEBUG] 2020-02-17 19:39:35.738 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@245a060f
[DEBUG] 2020-02-17 19:39:35.738 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@245a060f
[DEBUG] 2020-02-17 19:39:35.738 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@16c3ca31
[DEBUG] 2020-02-17 19:39:35.738 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@29314cc9
[DEBUG] 2020-02-17 19:39:35.739 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@56de6d6b
[DEBUG] 2020-02-17 19:39:35.742 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@56de6d6b
[DEBUG] 2020-02-17 19:39:35.742 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@1473b8c0
[DEBUG] 2020-02-17 19:39:35.743 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@6a969fb8
[DEBUG] 2020-02-17 19:39:35.743 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@6a969fb8
